,Gene names,Tissue,Pathway,CellularLocation,Enzymename,EnzymeType,parameter.type,parameter.associatedSpecies,parameter.startValue,parameter.endValue,parameter.standardDeviation,parameter.unit,Substrate,Product,Cofactor,Inhibitor,ChebiID,pH,Temperature,KeggReactionID,ReactionEquation,KineticMechanismType
54721,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Enzyme,,,-,-,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,44215;13389;15846;null;16541;36080;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54724,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Acetyl-protein,,,-,-,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,17154;16541;36080;44215;13389;15846;null,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54727,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,kcat,,0.24,,0.03,s^(-1),Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,17154;16541;36080;44215;13389;15846;null,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54730,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Enzyme,,,-,-,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,17154;16541;36080;44215;13389;15846;null,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54733,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Km,Acetyl-protein,0.00014099999999999998,,9.7E-5,M,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,17154;16541;36080;44215;13389;15846;null,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54736,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,kcat/Km,Acetyl-protein,2900.0,,960.0,M^(-1)*s^(-1),Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,17154;16541;36080;44215;13389;15846;null,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54739,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Enzyme,,,-,-,Acetyl-protein;NAD+,Protein;Nicotinamide;o-Acetyl-ADP-ribose,,,44215;13389;15846;null;17154;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54742,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,kcat/Km,Acetyl-protein,3930.0,,260.0,M^(-1)*s^(-1),Acetyl-protein;NAD+,Protein;Nicotinamide;o-Acetyl-ADP-ribose,,,44215;13389;15846;null;17154;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54745,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,kcat,,0.24,,0.03,s^(-1),Acetyl-protein;NAD+,Protein;Nicotinamide;o-Acetyl-ADP-ribose,,,44215;13389;15846;null;17154;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54748,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Acetyl-protein,,,-,-,Acetyl-protein;NAD+,Protein;Nicotinamide;o-Acetyl-ADP-ribose,,,44215;13389;15846;null;17154;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54751,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Km,Acetyl-protein,5.400000000000001e-05,,2.3E-5,M,Acetyl-protein;NAD+,Protein;Nicotinamide;o-Acetyl-ADP-ribose,,,44215;13389;15846;null;17154;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54754,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Vmax,,,,-,-,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,,17154;16541;36080;null;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive product inhibition
54757,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,NAD+,3e-05,0.0008,-,M,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,,17154;16541;36080;null;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive product inhibition
54760,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Acetyl-protein,0.0012,,-,M,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,,17154;16541;36080;null;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive product inhibition
54763,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Ki,Nicotinamide,6.05e-05,,1.21E-5,M,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,,17154;16541;36080;null;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive product inhibition
54766,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Km,NAD+,8.26e-05,,1.83E-5,M,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,,17154;16541;36080;null;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive product inhibition
54769,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Nicotinamide,0.0,0.0001,-,M,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,,17154;16541;36080;null;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive product inhibition
54772,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Ki,Nicotinamide,1.46e-05,,2.2E-6,M,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,,17154;16541;36080;null;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive product inhibition
54775,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Acetyl-protein,4e-05,0.0008,-,M,NAD+;Acetyl-protein,o-Acetyl-ADP-ribose;Nicotinamide;Protein,,,null;16541;36080;44215;13389;15846;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive product inhibition
54778,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Ki,Nicotinamide,3.43e-05,,6.4E-6,M,NAD+;Acetyl-protein,o-Acetyl-ADP-ribose;Nicotinamide;Protein,,,null;16541;36080;44215;13389;15846;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive product inhibition
54781,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Ki,Nicotinamide,5.8e-05,,3.1E-6,M,NAD+;Acetyl-protein,o-Acetyl-ADP-ribose;Nicotinamide;Protein,,,null;16541;36080;44215;13389;15846;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive product inhibition
54784,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Vmax,,,,-,-,NAD+;Acetyl-protein,o-Acetyl-ADP-ribose;Nicotinamide;Protein,,,null;16541;36080;44215;13389;15846;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive product inhibition
54787,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,NAD+,0.0012,,-,M,NAD+;Acetyl-protein,o-Acetyl-ADP-ribose;Nicotinamide;Protein,,,null;16541;36080;44215;13389;15846;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive product inhibition
54790,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Km,Acetyl-protein,9e-05,,1.5E-5,M,NAD+;Acetyl-protein,o-Acetyl-ADP-ribose;Nicotinamide;Protein,,,null;16541;36080;44215;13389;15846;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive product inhibition
54793,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Nicotinamide,0.0,0.0001,-,M,NAD+;Acetyl-protein,o-Acetyl-ADP-ribose;Nicotinamide;Protein,,,null;16541;36080;44215;13389;15846;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive product inhibition
54796,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,NAD+,2.5e-05,0.0005,-,M,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,44215;13389;15846;17154;16541;36080;null,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive product inhibition
54799,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Vmax,,,,-,-,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,44215;13389;15846;17154;16541;36080;null,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive product inhibition
54802,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Ki,Protein,0.000891,,1.62E-4,M,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,44215;13389;15846;17154;16541;36080;null,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive product inhibition
54805,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Km,NAD+,8.26e-05,,1.83E-5,M,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,44215;13389;15846;17154;16541;36080;null,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive product inhibition
54808,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Ki,Protein,0.0025,,5.0E-4,M,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,44215;13389;15846;17154;16541;36080;null,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive product inhibition
54811,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Protein,0.0,0.0012,-,M,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,44215;13389;15846;17154;16541;36080;null,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive product inhibition
54814,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Ki,Protein,0.000194,,6.5E-5,M,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,16541;36080;44215;13389;15846;17154;null,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Competitive product inhibition
54817,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Protein,0.0,0.009000000000000001,-,M,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,16541;36080;44215;13389;15846;17154;null,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Competitive product inhibition
54820,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Km,Acetyl-protein,9e-05,,1.5E-5,M,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,16541;36080;44215;13389;15846;17154;null,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Competitive product inhibition
54823,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Vmax,,,,-,-,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,16541;36080;44215;13389;15846;17154;null,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Competitive product inhibition
54826,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Acetyl-protein,5e-07,4.5e-05,-,M,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,16541;36080;44215;13389;15846;17154;null,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Competitive product inhibition
54829,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,NAD+,3e-05,0.001,-,M,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,ADPribose,null;17154;44215;13389;15846;16960;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive inhibition
54832,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Ki,ADP-ribose,0.000657,,1.82E-4,M,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,ADPribose,null;17154;44215;13389;15846;16960;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive inhibition
54835,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,ADP-ribose,0.0,0.003,-,M,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,ADPribose,null;17154;44215;13389;15846;16960;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive inhibition
54838,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Acetyl-protein,0.0012,,-,M,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,ADPribose,null;17154;44215;13389;15846;16960;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive inhibition
54841,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Km,NAD+,8.26e-05,,1.83E-5,M,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,ADPribose,null;17154;44215;13389;15846;16960;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive inhibition
54844,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Vmax,,,,-,-,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,ADPribose,null;17154;44215;13389;15846;16960;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive inhibition
54847,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Ki,ADP-ribose,0.00133,,1.8E-4,M,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,ADPribose,null;17154;44215;13389;15846;16960;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive inhibition
54850,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Vmax,,,,-,-,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,ADPribose,null;44215;13389;15846;17154;16960;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive inhibition
54853,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Km,Acetyl-protein,9e-05,,1.5E-5,M,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,ADPribose,null;44215;13389;15846;17154;16960;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive inhibition
54856,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Ki,ADP-ribose,0.00128,,2.8E-4,M,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,ADPribose,null;44215;13389;15846;17154;16960;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive inhibition
54859,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,ADP-ribose,0.0,0.0065,-,M,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,ADPribose,null;44215;13389;15846;17154;16960;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive inhibition
54862,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Ki,ADP-ribose,0.00262,,3.1E-4,M,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,ADPribose,null;44215;13389;15846;17154;16960;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive inhibition
54865,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Acetyl-protein,3e-05,0.0012,-,M,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,ADPribose,null;44215;13389;15846;17154;16960;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive inhibition
54868,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,NAD+,0.0012,,-,M,Acetyl-protein;NAD+,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,ADPribose,null;44215;13389;15846;17154;16960;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive inhibition
54871,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Vmax,,,,-,-,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,carba-NAD+,17154;null;16541;36080;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive inhibition
54874,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Km,NAD+,8.26e-05,,1.83E-5,M,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,carba-NAD+,17154;null;16541;36080;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive inhibition
54877,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,NAD+,2.5e-05,0.001,-,M,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,carba-NAD+,17154;null;16541;36080;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive inhibition
54880,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,carba-NAD+,0.0,0.0005,-,M,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,carba-NAD+,17154;null;16541;36080;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive inhibition
54883,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Ki,carba-NAD+,0.00021,,2.0E-5,M,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,carba-NAD+,17154;null;16541;36080;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive inhibition
54886,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Ki,carba-NAD+,0.00017,,2.0E-5,M,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,carba-NAD+,17154;null;16541;36080;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Noncompetitive inhibition
54889,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,kcat,,,,-,-,Acetyl-protein;NAD+,Protein;o-Acetyl-ADP-ribose;Nicotinamide,,,16541;36080;null;44215;13389;15846;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54892,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Enzyme,,,-,-,Acetyl-protein;NAD+,Protein;o-Acetyl-ADP-ribose;Nicotinamide,,,16541;36080;null;44215;13389;15846;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54895,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,NAD+,2.5e-05,0.0004,-,M,Acetyl-protein;NAD+,Protein;o-Acetyl-ADP-ribose;Nicotinamide,,,16541;36080;null;44215;13389;15846;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54898,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Km,NAD+,8.26e-05,,1.83E-5,M,Acetyl-protein;NAD+,Protein;o-Acetyl-ADP-ribose;Nicotinamide,,,16541;36080;null;44215;13389;15846;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
61565,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,concentration,Sox-AKT-tide peptide,1e-05,,-,M,ATP;Sox-AKT-tide peptide,phosphorylated Sox-AKT-tide peptide;ADP,,"4-[1-Ethyl-7-(piperidin-4-yloxy)-1H-imidazo[4,5-c]pyridin-2-yl]-furazan-3-ylamine",16761;30616;15422,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61567,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,IC50,"4-[1-Ethyl-7-(piperidin-4-yloxy)-1H-imidazo[4,5-c]pyridin-2-yl]-furazan-3-ylamine",2.1e-08,,-,M,ATP;Sox-AKT-tide peptide,phosphorylated Sox-AKT-tide peptide;ADP,,"4-[1-Ethyl-7-(piperidin-4-yloxy)-1H-imidazo[4,5-c]pyridin-2-yl]-furazan-3-ylamine",16761;30616;15422,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61584,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,IC50,"4-[1-Ethyl-7-(N-(2-(methylamino)ethyl)acetamido)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",1.5e-08,,-,M,Sox-AKT-tide peptide;ATP,ADP;phosphorylated Sox-AKT-tide peptide,,"4-[1-Ethyl-7-(N-(2-(methylamino)ethyl)acetamido)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",30616;15422;16761,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61586,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,concentration,Sox-AKT-tide peptide,1e-05,,-,M,Sox-AKT-tide peptide;ATP,ADP;phosphorylated Sox-AKT-tide peptide,,"4-[1-Ethyl-7-(N-(2-(methylamino)ethyl)acetamido)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",30616;15422;16761,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
